CountryID,Countryname
1,India
14,Australia
30,Brazil
37,Canada
94,Indonasia
148,New Zealand
162,Phillipines
166,Qatar
184,Singapore
189,South Africa
191,Sri lanka
208,Turkey
214,United Arab Emirates
215,United Kingdom
216,United States
